	Lineage	Species	Graph	Taxid	Common_name	Order	Female_maturity_(yrs)	Mass_(g)	Notes_on_missing_life_history	Expected_lifespan	Highest_max	Curated_Q90	Curated_Q95	Curated_E90	Curated_E95	Curated_max	Curated_lq	Curated_females_max	Curated_males_max
0	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Antilocapridae,Antilocapra,Antilocapra americana	Antilocapra americana		9891	Pronghorn	Artiodactyla	1.5	46100.0		25.91	17.0	no age record available	no age record available	no age record available	no age record available	17.0	0.66		
1	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Hippotraginae,Addax,Addax nasomaculatus	Addax nasomaculatus		59515	Addax	Artiodactyla	2.92	92500.0		29.49	28.0	no age record available	no age record available	no age record available	no age record available	28.0	0.95		
2	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Aepycerotinae,Aepyceros,Aepyceros melampus	Aepyceros melampus		9897	Impala	Artiodactyla	1.25	52500.0		26.54	25.6	no age record available	no age record available	no age record available	no age record available	25.6	0.96		
3	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Alcelaphinae,Alcelaphus,Alcelaphus buselaphus	Alcelaphus buselaphus		59517	Hartebeest	Artiodactyla	2.0	159000.0		32.62	22.5	no age record available	no age record available	no age record available	no age record available	22.5	0.69		
4	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Ammotragus,Ammotragus lervia	Ammotragus lervia		9899	Aoudad	Artiodactyla	0.92	92500.0		29.49	21.7	no age record available	no age record available	no age record available	no age record available	21.7	0.74		
5	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Antidorcas,Antidorcas marsupialis	Antidorcas marsupialis		59523	Springbok	Artiodactyla	0.58	39000.0		25.12	20.0	no age record available	no age record available	no age record available	no age record available	20.0	0.8		
6	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Antilope,Antilope cervicapra	Antilope cervicapra		59525	Blackbuck	Artiodactyla	1.28	37500.0		24.93	23.9	no age record available	no age record available	no age record available	no age record available	23.9	0.96	18.0	
7	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bison,Bison bison	Bison bison		9901	American bison	Artiodactyla	2.5	630000.0		42.14	33.5	18.0	19.0	no age record available	no age record available	33.5	0.8		
8	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bison,Bison bonasus	Bison bonasus		9902	European bison	Artiodactyla	2.0	610000.0		41.89	27.0	no age record available	no age record available	no age record available	no age record available	27.0	0.64		
9	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bos,Bos gaurus	Bos gaurus		9904	Seladang	Artiodactyla	1.89	1500000.0	Mass filled from web encyclopedia; 	49.52	26.2	no age record available	no age record available	no age record available	no age record available	26.2	0.53		
10	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bos,Bos grunniens	Bos grunniens		30521	Yak	Artiodactyla	2.02	667000.0		42.59	26.3	no age record available	no age record available	no age record available	no age record available	26.3	0.62	25.0	
11	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bos,Bos taurus	Bos taurus	Available	9913	Domestic cattle	Artiodactyla	1.5	750000.0		43.53	36.5	18.06	19.83	20.45	21.97	23.17	0.53	36.5	27.3
12	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Boselaphus,Boselaphus tragocamelus	Boselaphus tragocamelus		9917	Nilgai	Artiodactyla	2.23	180000.0		33.38	21.7	no age record available	no age record available	no age record available	no age record available	21.7	0.65		
13	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bubalus,Bubalus arnee	Bubalus arnee		2866655	Wild water buffalo	Artiodactyla	1.88	1200000.0	Mass filled from web encyclopedia; Age at female sexual maturity filled using lineage; 	47.5	25.0	no age record available	no age record available	no age record available	no age record available	25.0	0.53		
14	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bubalus,Bubalus depressicornis	Bubalus depressicornis		27596	Anoa	Artiodactyla	2.0	155000.0		32.46	36.1	no age record available	no age record available	no age record available	no age record available	36.1	1.11		
15	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bubalus,Bubalus mindorensis	Bubalus mindorensis		56639	Tamaraw	Artiodactyla	2.07	240000.0		35.21	28.0	no age record available	no age record available	no age record available	no age record available	28.0	0.8		
16	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Budorcas,Budorcas taxicolor	Budorcas taxicolor		37181	Takin	Artiodactyla	2.0	180000.0		33.38	21.9	no age record available	no age record available	no age record available	no age record available	21.9	0.66		
17	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capra,Capra aegagrus	Capra aegagrus		9923	Wild goat	Artiodactyla	1.57	95000.0	Mass filled from web encyclopedia; 	29.64	12.0	no age record available	no age record available	no age record available	no age record available	12.0	0.4		
18	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capra,Capra cylindricornis	Capra cylindricornis		72541	East Caucasian tur	Artiodactyla	2.79	50000.0		26.3	22.0	no age record available	no age record available	no age record available	no age record available	22.0	0.84		
19	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capra,Capra falconeri	Capra falconeri		48167	Markhor	Artiodactyla	2.04	41000.0		25.35	19.1	no age record available	no age record available	no age record available	no age record available	19.1	0.75		
20	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capra,Capra hircus	Capra hircus		9925	Domestic goat	Artiodactyla	1.11	61000.0		27.29	20.8	no age record available	no age record available	no age record available	no age record available	20.8	0.76		
21	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capra,Capra ibex	Capra ibex		72542	Ibex	Artiodactyla	2.18	82500.0		28.87	22.3	no age record available	no age record available	no age record available	no age record available	22.3	0.77		
22	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capra,Capra nubiana	Capra nubiana		72543	Nubian ibex	Artiodactyla	2.24	46250.0		25.92	22.4	no age record available	no age record available	no age record available	no age record available	22.4	0.86		
23	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capra,Capra sibirica	Capra sibirica		72544	Siberian ibex	Artiodactyla	2.18	130000.0		31.42	22.3	no age record available	no age record available	no age record available	no age record available	22.3	0.71		
24	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capra,Capra pyrenaica	Capra pyrenaica		80419	Spanish ibex	Artiodactyla	1.5	57500.0		27.0	16.0	no age record available	no age record available	no age record available	no age record available	16.0	0.59		
25	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capricornis,Capricornis crispus	Capricornis crispus		9966	Japanese serow	Artiodactyla	3.0	80000.0		28.71	24.0	no age record available	no age record available	no age record available	no age record available	24.0	0.84		
26	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Capricornis,Capricornis sumatraensis	Capricornis sumatraensis		34865	Serow	Artiodactyla	2.5	95000.0		29.64	21.0	no age record available	no age record available	no age record available	no age record available	21.0	0.71		
27	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Cephalophinae,Philantomba,Philantomba monticola	Philantomba monticola		907742	Blue duiker	Artiodactyla	1.33	6250.0		17.87	15.9	no age record available	no age record available	no age record available	no age record available	15.9	0.89		
28	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Cephalophinae,Cephalophorus,Cephalophorus nigrifrons	Cephalophorus nigrifrons		129227	Black-fronted duiker	Artiodactyla	0.74	13900.0	Age at female sexual maturity filled using lineage; 	20.73	19.7	no age record available	no age record available	no age record available	no age record available	19.7	0.95		
29	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Alcelaphinae,Connochaetes,Connochaetes gnou	Connochaetes gnou		59528	Black Malddaba_life_tableebeest	Artiodactyla	2.09	132250.0		31.52	21.8	no age record available	no age record available	no age record available	no age record available	21.8	0.69		
30	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Alcelaphinae,Connochaetes,Connochaetes taurinus	Connochaetes taurinus		9927	Blue Malddaba_life_tableebeest	Artiodactyla	1.13	164500.0		32.83	24.3	no age record available	no age record available	no age record available	no age record available	24.3	0.74		
31	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Alcelaphinae,Damaliscus,Damaliscus pygargus	Damaliscus pygargus		9931	Bontebok, or Sassaby, or Blesbok	Artiodactyla	1.94	84500.0		29.0	23.0	no age record available	no age record available	no age record available	no age record available	23.0	0.79		
32	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Gazella,Gazella dorcas	Gazella dorcas		37751	Dorcas gazelle	Artiodactyla	2.0	14500.0		20.89	23.7	no age record available	no age record available	no age record available	no age record available	23.7	1.13		
33	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Gazella,Gazella gazella	Gazella gazella		69302	Mountain gazelle	Artiodactyla	1.3	23250.0		22.81	18.3	no age record available	no age record available	no age record available	no age record available	18.3	0.8		
34	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Gazella,Gazella leptoceros	Gazella leptoceros		69303	Rhim gazelle	Artiodactyla	0.43	48500.0		26.15	14.6	no age record available	no age record available	no age record available	no age record available	14.6	0.56		
35	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Nanger,Nanger soemmerringii	Nanger soemmerringii		69306	Soemmerring's gazelle	Artiodactyla	1.75	48500.0		26.15	15.5	no age record available	no age record available	no age record available	no age record available	15.5	0.59		
36	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Gazella,Gazella subgutturosa	Gazella subgutturosa		59529	Goitered gazelle	Artiodactyla	1.77	48500.0		26.15	16.3	no age record available	no age record available	no age record available	no age record available	16.3	0.62		
37	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Eudorcas,Eudorcas thomsonii	Eudorcas thomsonii		69308	Thomson's gazelle	Artiodactyla	1.0	25000.0		23.12	20.0	no age record available	no age record available	no age record available	no age record available	20.0	0.86		
38	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Nilgiritragus,Nilgiritragus hylocrius	Nilgiritragus hylocrius		3349691	Nilgiri tahr	Artiodactyla	1.83	75000.0		28.36	17.3	no age record available	no age record available	no age record available	no age record available	17.3	0.61		
39	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Arabitragus,Arabitragus jayakari	Arabitragus jayakari		330465	Arabian tahr	Artiodactyla	2.0	23000.0	Age at female sexual maturity filled using lineage; 	22.77	14.0	no age record available	no age record available	no age record available	no age record available	14.0	0.61		
40	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Hemitragus,Hemitragus jemlahicus	Hemitragus jemlahicus		37179	Himalayan tahr	Artiodactyla	1.5	35200.0		24.64	24.0	no age record available	no age record available	no age record available	no age record available	24.0	0.97		
41	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Hippotraginae,Hippotragus,Hippotragus equinus	Hippotragus equinus		37186	Roan antelope	Artiodactyla	2.0	225000.0		34.79	25.9	no age record available	no age record available	no age record available	no age record available	25.9	0.74		
42	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Hippotraginae,Hippotragus,Hippotragus niger	Hippotragus niger		37189	Sable antelope	Artiodactyla	2.1	225000.0		34.79	22.2	no age record available	no age record available	no age record available	no age record available	22.2	0.64		
43	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Reduncinae,Kobus,Kobus ellipsiprymnus	Kobus ellipsiprymnus		9962	Waterbuck	Artiodactyla	2.11	175333.0		33.22	30.0	no age record available	no age record available	no age record available	no age record available	30.0	0.9	18.5	
44	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Reduncinae,Kobus,Kobus kob	Kobus kob		59530	Kob	Artiodactyla	1.1	105000.0		30.2	21.9	no age record available	no age record available	no age record available	no age record available	21.9	0.73		
45	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Reduncinae,Kobus,Kobus leche	Kobus leche		59531	Lechwe	Artiodactyla	2.46	94800.0		29.63	27.0	no age record available	no age record available	no age record available	no age record available	27.0	0.91		
46	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Reduncinae,Kobus,Kobus megaceros	Kobus megaceros		59532	Nile lechwe	Artiodactyla	2.0	90000.0		29.34	21.1	no age record available	no age record available	no age record available	no age record available	21.1	0.72		
47	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Litocranius,Litocranius walleri	Litocranius walleri		69311	Gerenuk	Artiodactyla	0.98	43500.0		25.63	17.3	no age record available	no age record available	no age record available	no age record available	17.3	0.67		
48	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Madoqua,Madoqua kirkii	Madoqua kirkii		66434	Kirk's dik-dik	Artiodactyla	0.58	5000.0		17.14	17.3	no age record available	no age record available	no age record available	no age record available	17.3	1.01		
49	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Naemorhedus,Naemorhedus goral	Naemorhedus goral		34871	Goral	Artiodactyla	1.37	31750.0		24.17	17.6	no age record available	no age record available	no age record available	no age record available	17.6	0.73		
50	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Neotragus,Neotragus moschatus	Neotragus moschatus		66442	Suni	Artiodactyla	0.5	6500.0		18.0	13.5	no age record available	no age record available	no age record available	no age record available	13.5	0.75		
51	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Neotragus,Neotragus pygmaeus	Neotragus pygmaeus		1027985	Royal antelope	Artiodactyla	1.33	2250.0		14.77	11.1	no age record available	no age record available	no age record available	no age record available	11.1	0.75		
52	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Oreamnos,Oreamnos americanus	Oreamnos americanus		34873	Mountain goat	Artiodactyla	2.5	90000.0		29.34	20.8	15.0	17.0	no age record available	no age record available	20.8	0.71	18.0	14.0
53	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Oreotragus,Oreotragus oreotragus	Oreotragus oreotragus		66444	Klipspringer	Artiodactyla	1.0	12000.0		20.17	25.9	no age record available	no age record available	no age record available	no age record available	25.9	1.28		
54	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Hippotraginae,Oryx,Oryx gazella	Oryx gazella		9958	Gemsbok	Artiodactyla	1.51	170000.0		33.03	23.8	no age record available	no age record available	no age record available	no age record available	23.8	0.72		
55	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Ourebia,Ourebia ourebi	Ourebia ourebi		59536	Oribi	Artiodactyla	0.83	17000.0		21.52	15.9	no age record available	no age record available	no age record available	no age record available	15.9	0.74		
56	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Ovibos,Ovibos moschatus	Ovibos moschatus		37176	Muskox	Artiodactyla	3.0	315000.0		37.04	27.4	no age record available	no age record available	no age record available	no age record available	27.4	0.74		
57	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Ovis,Ovis ammon	Ovis ammon		30527	Argali	Artiodactyla	1.1	160000.0		32.66	16.8	no age record available	no age record available	no age record available	no age record available	16.8	0.51		
58	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Ovis,Ovis canadensis	Ovis canadensis		37174	Bighorn sheep	Artiodactyla	1.94	70275.0		28.02	24.0	13.0	15.0	no age record available	no age record available	24.0	0.86		
59	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Ovis,Ovis orientalis	Ovis orientalis		469796	Asiatic mouflon	Artiodactyla	1.6	50000.0	Mass filled from web encyclopedia; Age at female sexual maturity filled using lineage; 	26.3	13.0	no age record available	no age record available	no age record available	no age record available	13.0	0.49		
60	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Peleinae,Pelea,Pelea capreolus	Pelea capreolus		59552	Common rhebok	Artiodactyla	1.66	25000.0	Age at female sexual maturity filled using lineage; 	23.12	12.33	no age record available	no age record available	no age record available	no age record available	12.33	0.53		
61	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Procapra,Procapra gutturosa	Procapra gutturosa		157669	Mongolian gazelle	Artiodactyla	1.46	30000.0		23.92	12.0	no age record available	no age record available	no age record available	no age record available	12.0	0.5		
62	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Pseudois,Pseudois nayaur	Pseudois nayaur		59542	Bharal	Artiodactyla	2.0	55000.0		26.77	24.0	no age record available	no age record available	no age record available	no age record available	24.0	0.9		
63	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Reduncinae,Redunca,Redunca arundinum	Redunca arundinum		59554	Southern reedbuck	Artiodactyla	1.22	58000.0	Age at female sexual maturity filled using lineage; 	27.04	16.8	no age record available	no age record available	no age record available	no age record available	16.8	0.62		
64	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Reduncinae,Redunca,Redunca fulvorufula	Redunca fulvorufula		59555	Mountain reedbuck	Artiodactyla	1.06	30000.0		23.92	15.0	no age record available	no age record available	no age record available	no age record available	15.0	0.63		
65	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Reduncinae,Redunca,Redunca redunca	Redunca redunca		59556	Bohar reedbuck	Artiodactyla	1.37	45500.0		25.85	18.0	no age record available	no age record available	no age record available	no age record available	18.0	0.7		
66	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Rupicapra,Rupicapra rupicapra	Rupicapra rupicapra		34869	Chamois	Artiodactyla	1.85	37500.0	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	24.93	26.0	20.0	22.0	no age record available	no age record available	26.0	1.04		
67	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Saiga,Saiga tatarica	Saiga tatarica		34875	Saiga	Artiodactyla	0.91	37500.0		24.93	12.0	no age record available	no age record available	no age record available	no age record available	12.0	0.48		
68	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Cephalophinae,Sylvicapra,Sylvicapra grimmia	Sylvicapra grimmia		119562	Bush duiker	Artiodactyla	0.7	18500.0		21.86	15.4	no age record available	no age record available	no age record available	no age record available	15.4	0.7		
69	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Syncerus,Syncerus caffer	Syncerus caffer		9970	African buffalo	Artiodactyla	4.04	700000.0		42.97	32.8	no age record available	no age record available	no age record available	no age record available	32.8	0.76		
70	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Tragelaphus,Tragelaphus oryx	Tragelaphus oryx		9945	Eland	Artiodactyla	1.61	500000.0		40.37	26.1	no age record available	no age record available	no age record available	no age record available	26.1	0.65	23.6	
71	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Tetracerus,Tetracerus quadricornis	Tetracerus quadricornis		73823	Four-horned antelope	Artiodactyla	1.0	19000.0		21.97	17.4	no age record available	no age record available	no age record available	no age record available	17.4	0.79		
72	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Tragelaphus,Tragelaphus angasii	Tragelaphus angasii		66437	Nyala	Artiodactyla	1.24	120000.0		30.95	23.0	no age record available	no age record available	no age record available	no age record available	23.0	0.74		
73	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Tragelaphus,Tragelaphus eurycerus	Tragelaphus eurycerus		69297	Bongo	Artiodactyla	2.21	307500.0		36.88	22.0	no age record available	no age record available	no age record available	no age record available	22.0	0.6	19.4	
74	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Tragelaphus,Tragelaphus imberbis	Tragelaphus imberbis		9947	Lesser kudu	Artiodactyla	1.38	82500.0		28.87	19.8	no age record available	no age record available	no age record available	no age record available	19.8	0.69		
75	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Tragelaphus,Tragelaphus spekii	Tragelaphus spekii		69298	Sitatunga	Artiodactyla	1.1	87500.0		29.19	22.6	no age record available	no age record available	no age record available	no age record available	22.6	0.77		
76	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Tragelaphus,Tragelaphus strepsiceros	Tragelaphus strepsiceros		9946	Greater kudu	Artiodactyla	1.42	217500.0		34.58	23.5	no age record available	no age record available	no age record available	no age record available	23.5	0.68		
77	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,Camelus,Camelus dromedarius	Camelus dromedarius	Available	9838	Dromedary	Artiodactyla	3.0	434000.0		39.32	40.0	24.02	25.91	26.96	29.07	30.66	0.78	34.88	36.33
78	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,Camelus,Camelus ferus	Camelus ferus		419612	Bactrian camel	Artiodactyla	2.33	1000000.0	Mass filled from web encyclopedia; 	45.92	40.0	no age record available	no age record available	no age record available	no age record available	40.0	0.87		
79	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,Lama,Lama guanicoe	Lama guanicoe		9840	Guanaco	Artiodactyla	1.0	127500.0		31.31	33.7	no age record available	no age record available	no age record available	no age record available	33.7	1.08		
80	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,Vicugna,Vicugna vicugna	Vicugna vicugna		9843	Vicugna	Artiodactyla	2.0	50000.0		26.3	31.6	no age record available	no age record available	no age record available	no age record available	31.6	1.2		
81	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Cervidae,Odocoileinae,Alces,Alces alces	Alces alces		9852	Moose	Artiodactyla	2.06	386000.0		38.47	27.0	13.0	14.0	no age record available	no age record available	27.0	0.7		
82	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Cervidae,Cervinae,Axis,Axis axis	Axis axis		30531	Chital	Artiodactyla	2.1	36000.0		24.74	20.8	no age record available	no age record available	no age record available	no age record available	20.8	0.84		
83	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Cervidae,Cervinae,Axis,Axis porcinus	Axis porcinus		57737	Hog deer	Artiodactyla	0.83	43000.0		25.58	22.9	no age record available	no age record available	no age record available	no age record available	22.9	0.9		
84	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Cervidae,Odocoileinae,Capreolus,Capreolus capreolus	Capreolus capreolus		9858	Western roe deer	Artiodactyla	1.13	21666.7		22.51	17.5	13.0	13.0	no age record available	no age record available	17.5	0.78		
85	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Cervidae,Cervinae,Cervus,Cervus elaphus	Cervus elaphus	Available	9860	Red deer	Artiodactyla	2.33	200000.0		34.04	35.73	17.56	20.06	21.09	23.33	25.01	0.73	35.73	27.96
86	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Cervidae,Cervinae,Rucervus,Rucervus eldii	Rucervus eldii		1088090	Eld's deer	Artiodactyla	1.39	122500.0		31.07	20.5	9.0	10.0	no age record available	no age record available	20.5	0.66	19.4	
87	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Cervidae,Cervinae,Cervus,Cervus albirostris	Cervus albirostris		1088058	Thorold's deer	Artiodactyla	2.0	135000.0		31.64	21.3	no age record available	no age record available	no age record available	no age record available	21.3	0.67		
88	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Cervidae,Cervinae,Dama,Dama dama	Dama dama		30532	Fallow deer	Artiodactyla	1.33	70000.0		28.0	27.0	no age record available	no age record available	no age record available	no age record available	27.0	0.96		
