	Lineage	Species	Graph	Taxid	Common_name	Order	Female_maturity_(yrs)	Mass_(g)	Notes_on_missing_life_history	Expected_lifespan	Highest_max	Curated_Q90	Curated_Q95	Curated_E90	Curated_E95	Curated_max	Curated_lq	Curated_females_max	Curated_males_max
257	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinidae,Pseudorca,Pseudorca crassidens	Pseudorca crassidens	Available	82174	False killer whale	Artiodactyla	9.49	748000.0	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	43.51	65.0	55.0	60.0	60.5	62.0	63.02	1.45		
258	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinidae,Stenella,Stenella attenuata	Stenella attenuata		9735	Pantropical spotted dolphin	Artiodactyla	8.17	112500.0		30.59	46.0	no age record available	no age record available	no age record available	no age record available	46.0	1.5		
259	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinidae,Stenella,Stenella coeruleoalba	Stenella coeruleoalba		9737	Striped dolphin	Artiodactyla	7.76	112500.0		30.59	57.5	no age record available	no age record available	no age record available	no age record available	57.5	1.88		
260	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinidae,Steno,Steno bredanensis	Steno bredanensis		46167	Rough-toothed dolphin	Artiodactyla	9.99	114000.0		30.66	48.0	no age record available	no age record available	no age record available	no age record available	48.0	1.57		
261	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinidae,Tursiops,Tursiops aduncus	Tursiops aduncus	Available	79784	Indo-pacific bottlenose dolphin	Artiodactyla	9.7	230000.0	Mass filled from web encyclopedia; Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	34.94	43.0	31.0	34.0	34.02	35.86	37.02	1.06		
262	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinidae,Tursiops,Tursiops truncatus	Tursiops truncatus	Available	9739	Bottlenosed dolphin	Artiodactyla	7.75	200000.0		34.04	67.0	36.25	43.59	44.62	49.39	50.37	1.48	54.65	51.12
263	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Mysticeti,Eschrichtiidae,Eschrichtius,Eschrichtius robustus	Eschrichtius robustus		9764	Gray whale	Artiodactyla	8.0	28500000.0		85.63	77.0	no age record available	no age record available	no age record available	no age record available	77.0	0.9		
264	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Iniidae,Inia,Inia geoffrensis	Inia geoffrensis		9725	Amazon river dolphin, or Amazon dolphin	Artiodactyla	5.0	84000.0		28.97	31.3	no age record available	no age record available	no age record available	no age record available	31.3	1.08		
265	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Monodontidae,Delphinapterus,Delphinapterus leucas	Delphinapterus leucas	Available	9749	Beluga	Artiodactyla	4.5	1430000.0	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	49.08	100.0	28.0	31.0	31.77	34.19	35.28	0.72		
266	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Monodontidae,Monodon,Monodon monoceros	Monodon monoceros		40151	Narwhal	Artiodactyla	6.0	1250000.0	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	47.87	114.0	no age record available	no age record available	no age record available	no age record available	114.0	2.38		
